timestamp,feed_volume_m3_day,total_solids_percent,volatile_solids_percent,cod_mg_l,temperature_celsius,ph,alkalinity_mg_l,retention_time_days,mixing_intensity_rpm,methane_production_m3_day,hour_of_day,day_of_week,is_weekend,methane_lag_1,methane_lag_3,methane_rolling_mean_5,estimated_cn_ratio,loading_rate_kg_vs_m3_day
2025-08-29 00:00:00,52.48,10.49,8.2,32931.0,36.9,6.95,2782.0,22.0,12.1,58.75,0,4,0,,,,25.24859452560699,43.0336
2025-08-29 00:03:00,48.02,9.48,5.87,27690.0,37.4,6.7,2416.0,17.3,22.3,32.19,0,4,0,58.75,,,26.4200100266649,28.187740000000005
2025-08-29 00:06:00,52.09,9.18,6.64,28381.0,36.4,7.08,2668.0,22.2,16.5,40.85,0,4,0,32.19,,,24.91058865444568,34.58776
2025-08-29 00:09:00,47.52,10.21,7.39,29770.0,36.9,7.08,2831.0,16.6,8.4,38.43,0,4,0,40.85,58.75,,26.573754049142845,35.11728
2025-08-29 00:12:00,57.17,11.03,8.21,31116.0,36.3,6.86,2409.0,18.9,9.3,54.54,0,4,0,38.43,32.19,44.952,23.99179991048278,46.93657000000001
2025-08-29 00:15:00,57.24,11.75,9.34,34430.0,36.9,6.88,2754.0,22.7,12.6,81.21,0,4,0,54.54,40.85,49.444,25.806414803317693,53.462160000000004
2025-08-29 00:18:00,49.62,9.28,7.34,31038.0,37.0,7.2,3045.0,22.5,22.5,58.83,0,4,0,81.21,38.43,54.772000000000006,20.46836184889151,36.42107999999999
2025-08-29 00:21:00,72.82,10.72,7.83,30593.0,36.3,7.21,2810.0,21.8,22.4,63.98,0,4,0,58.83,54.54,59.398,22.936647115523705,57.018059999999984
2025-08-29 00:24:00,52.7,10.13,8.06,31456.0,36.7,7.1,3076.0,21.6,13.5,62.56,0,4,0,63.98,81.21,64.224,22.96896646962897,42.476200000000006
2025-08-29 00:27:00,56.22,10.44,8.5,31703.0,35.7,7.07,2716.0,19.8,14.2,57.15,0,4,0,62.56,58.83,64.746,23.876829900379256,47.787
2025-08-29 00:30:00,67.66,11.56,8.82,32560.0,36.0,6.99,2768.0,20.7,11.7,66.96,0,4,0,57.15,63.98,61.896,22.220460235660756,59.67612
2025-08-29 00:33:00,61.31,10.81,7.79,30167.0,37.2,7.0,2978.0,23.2,19.0,65.76,0,4,0,66.96,62.56,63.282000000000004,23.399369122530754,47.76049000000001
2025-08-29 00:36:00,66.6,9.93,7.74,32665.0,36.5,5.8,1838.0,22.0,9.7,10.0,0,4,0,65.76,57.15,52.486000000000004,20.456757812805638,51.548399999999994
2025-08-29 00:39:00,55.61,12.33,8.76,32208.0,37.4,6.75,2900.0,27.1,13.4,74.32,0,4,0,10.0,66.96,54.838,26.6461014291847,48.71436
2025-08-29 00:42:00,53.59,11.87,9.67,33480.0,37.3,7.24,2930.0,20.7,24.3,89.23,0,4,0,74.32,65.76,61.254,24.752459443265817,51.82153
2025-08-29 00:45:00,55.37,11.43,8.01,31811.0,37.6,6.84,2753.0,24.2,10.7,62.84,0,4,0,89.23,10.0,60.42999999999999,19.88437717667195,44.351369999999996
2025-08-29 00:48:00,54.97,9.98,7.92,30602.0,37.6,7.11,2751.0,27.8,18.1,64.44,0,4,0,62.84,74.32,60.16600000000001,22.49551026835998,43.53624
2025-08-29 00:51:00,56.91,11.33,8.37,32453.0,37.2,6.99,2652.0,24.1,20.2,78.72,0,4,0,64.44,89.23,73.91,26.0098042826865,47.633669999999995
2025-08-29 00:54:00,58.04,10.39,8.16,31414.0,37.3,7.35,2938.0,20.4,16.8,69.58,0,4,0,78.72,62.84,72.962,23.37093416084263,47.360640000000004
2025-08-29 00:57:00,68.43,12.48,8.5,31057.0,37.3,7.1,2806.0,24.6,22.2,84.35,0,4,0,69.58,64.44,71.986,22.90917561958571,58.16550000000001
2025-08-29 01:00:00,70.16,12.5,9.52,34211.0,36.9,6.7,2503.0,23.1,26.6,97.55,1,4,0,84.35,78.72,78.928,24.776221968975772,66.79232
2025-08-29 01:03:00,67.19,9.75,7.08,30249.0,37.5,6.78,2752.0,20.5,26.9,75.5,1,4,0,97.55,69.58,81.13999999999999,26.03079260553465,47.570519999999995
2025-08-29 01:06:00,70.77,12.37,9.28,34012.0,38.0,6.87,2529.0,23.0,17.5,88.82,1,4,0,75.5,84.35,83.16,20.690942628882517,65.67456
2025-08-29 01:09:00,58.09,10.57,7.68,29700.0,38.4,7.08,2866.0,26.6,8.4,60.67,1,4,0,88.82,97.55,81.378,26.65038544365364,44.61312
2025-08-29 01:12:00,60.52,9.75,7.19,31260.0,37.5,6.81,2606.0,20.9,23.2,61.34,1,4,0,60.67,75.5,76.776,22.59912015517787,43.51388000000001
2025-08-29 01:15:00,62.0,11.23,9.23,32029.0,38.1,7.0,2711.0,23.7,18.2,82.54,1,4,0,61.34,88.82,73.774,24.946216095250605,57.226000000000006
2025-08-29 01:18:00,54.69,12.02,8.64,34395.0,37.9,7.01,2813.0,22.4,14.0,70.26,1,4,0,82.54,60.67,72.72600000000001,24.893739577925473,47.25216
2025-08-29 01:21:00,61.15,11.91,9.14,32593.0,38.0,7.06,2655.0,25.5,17.8,83.57,1,4,0,70.26,61.34,71.67600000000002,23.418801645280677,55.89110000000001
2025-08-29 01:24:00,55.01,9.53,6.83,29819.0,38.3,6.91,2967.0,23.9,18.4,48.35,1,4,0,83.57,82.54,69.212,21.929020761607855,37.57183
2025-08-29 01:27:00,65.38,11.14,8.41,32411.0,37.1,7.42,3200.0,21.6,18.9,82.85,1,4,0,48.35,70.26,73.514,24.14294035572321,54.984579999999994
2025-08-29 01:30:00,60.01,10.99,7.1,30961.0,37.4,7.16,2913.0,22.9,10.9,61.91,1,4,0,82.85,83.57,69.38799999999999,29.875990927225587,42.6071
2025-08-29 01:33:00,64.43,10.71,7.78,30799.0,36.8,6.72,2476.0,26.9,5.0,72.06,1,4,0,61.91,48.35,69.748,20.914974908609107,50.126540000000006
